City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,petawawa,45.9001,-77.3328,-6.23,86,96,1.89,CA,1704675066
271,nemuro,43.3236,145.575,-0.19,68,16,8.68,JP,1704675067
272,la'ie,21.6477,-157.9253,28.03,77,16,1.34,US,1704675067
273,rumonge,-3.9736,29.4386,22.75,79,100,1.01,BI,1704675068
274,island harbour,50.724,-1.2758,3.32,75,7,4.02,GB,1704675069
275,fort bragg,35.139,-79.006,10.75,49,0,3.09,US,1704675070
276,northam,51.0333,-4.2167,2.99,78,10,4.65,GB,1704675071
277,mogok,22.9167,96.5,10.62,73,5,0.91,MM,1704675072
278,cantaura,9.3057,-64.3584,25.52,51,21,4.89,VE,1704675073
279,villa de cos,23.2833,-102.35,15.41,23,0,7.49,MX,1704675074
280,moussoro,13.6408,16.4901,18.36,15,0,4.44,TD,1704675075
281,redencao,-4.2258,-38.7306,24.19,89,34,1.51,BR,1704675076
282,canmore,51.0834,-115.3521,-12.29,96,48,1.03,CA,1704674920
283,port-gentil,-0.7193,8.7815,27.26,79,100,5.04,GA,1704675077
284,ribeira brava,32.65,-17.0667,20.56,84,100,2.59,PT,1704675079
285,maharajgani,26.1167,84.4833,12.43,92,0,2.23,IN,1704675080
286,port macquarie,-31.4333,152.9167,29.38,58,100,6.91,AU,1704675081
287,kertih,4.5141,103.4483,27.01,88,40,2.24,MY,1704675083
288,kourou,5.1552,-52.6478,27.03,85,88,2.32,GF,1704675084
289,levis,46.8033,-71.1779,-6.9,81,100,5.66,CA,1704674860
290,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-16.66,89,100,0.43,RU,1704675085
291,suva,-18.1416,178.4415,30.71,70,40,3.6,FJ,1704675087
292,gadzhiyevo,69.2551,33.3362,-3.71,80,100,14.78,RU,1704675087
293,kisangani,0.5167,25.2,20.89,62,21,0.49,CD,1704675088
294,yarovoye,52.9273,78.58,0.76,97,100,9.83,RU,1704675089
295,bam,29.106,58.357,6.77,41,0,1.95,IR,1704675090
296,mugia,43.1041,-9.2179,3.84,68,99,3.84,ES,1704675091
297,waingapu,-9.6567,120.2641,29.88,68,74,1.14,ID,1704675092
298,nova sintra,14.8667,-24.7167,21.76,70,81,4.88,CV,1704675093
299,tabou,4.423,-7.3528,27.16,84,72,3.42,CI,1704675094
300,ghat,24.9647,10.1728,14.15,28,100,0.44,LY,1704675095
301,baddi,30.9578,76.7914,14.04,37,6,1.53,IN,1704675096
302,urangan,-25.3,152.9,27.33,84,54,1.79,AU,1704675097
303,vilyuchinsk,52.9306,158.4028,-15.04,82,17,2.53,RU,1704675098
304,axim,4.8699,-2.2405,26.99,86,76,2.6,GH,1704675100
305,as sulayyil,20.4607,45.5779,14.14,59,0,3.63,SA,1704675101
306,assai,-23.3733,-50.8414,30.92,45,98,1.57,BR,1704675101
307,aasiaat,68.7098,-52.8699,-11.29,77,100,4.4,GL,1704675102
308,homer,59.6425,-151.5483,2.93,93,20,1.54,US,1704675103
309,tidjikja,18.5564,-11.4271,20.17,13,0,4.94,MR,1704675104
310,villa gesell,-37.2639,-56.973,20.03,89,100,0.8,AR,1704675105
311,almazan,41.4865,-2.5309,0.99,94,7,2.47,ES,1704675105
312,izazi,-7.2,35.7333,20.31,91,89,1.12,TZ,1704675106
313,stanley,54.868,-1.6985,2.1,96,75,0.51,GB,1704675107
314,praia da vitoria,38.7333,-27.0667,15.14,88,40,4.95,PT,1704675108
315,carbonear,47.7332,-53.2148,-4.21,75,65,7.06,CA,1704675109
316,nhamunda,-2.1861,-56.7131,24.66,82,26,1.4,BR,1704675109
317,ola,59.5833,151.2833,-30.34,87,18,2.88,RU,1704675110
318,markovo,57.3206,107.0881,-28.81,100,97,1.46,RU,1704675111
319,howard springs,-12.497,131.047,31.6,74,100,1.16,AU,1704675112
320,tiksi,71.6872,128.8694,-33.86,96,44,3.13,RU,1704675112
321,chonchi,-42.6128,-73.8092,14.56,93,32,1.61,CL,1704675113
322,sudzha,51.1976,35.2726,-15.14,88,100,5.77,RU,1704675114
323,luderitz,-26.6481,15.1594,17.69,76,82,12.01,NA,1704675114
324,olyokminsk,60.3736,120.4264,-16.63,85,100,5.88,RU,1704675115
325,la gi,10.6667,107.7833,25.33,72,97,3.82,VN,1704675116
326,gisborne,-38.6533,178.0042,20.18,58,9,4.28,NZ,1704675117
327,palapag,12.5458,125.1147,26.68,90,91,4.89,PH,1704675117
328,sao vicente,-23.9631,-46.3919,29.04,49,2,4.02,BR,1704675118
329,labasa,-16.4167,179.3833,28.8,81,100,2.23,FJ,1704675119
330,fada,9.5667,8.3,19.18,17,0,2.69,NG,1704675120
331,weno,7.4515,151.8468,30.97,62,20,4.63,FM,1704675121
332,pangoa,-12.1167,-73.0,21.89,96,100,0.85,PE,1704675122
333,olean,42.0776,-78.4297,2.38,100,100,0.0,US,1704675123
334,hue,16.4667,107.6,21.06,100,75,1.03,VN,1704675125
335,sabinanigo,42.5192,-0.3661,0.18,76,5,3.24,ES,1704675125
336,mount gambier,-37.8333,140.7667,18.04,80,100,5.26,AU,1704675126
337,jiangyou,31.7667,104.7167,9.89,82,25,0.54,CN,1704675127
338,kruisfontein,-34.0033,24.7314,17.71,90,100,2.9,ZA,1704675128
339,carauari,-4.8828,-66.8958,24.42,94,62,1.39,BR,1704675078
340,le vauclin,14.5452,-60.8388,26.03,73,20,2.57,MQ,1704675130
341,zouerate,22.7187,-12.4521,17.99,42,0,3.14,MR,1704675131
342,al ghayzah,16.2079,52.176,19.04,34,66,6.34,YE,1704675132
343,suez,29.9737,32.5263,14.82,52,0,0.46,EG,1704675133
344,saipan,15.1355,145.701,29.39,79,40,6.69,MP,1704675134
345,susuman,62.7833,148.1667,-38.34,98,96,1.34,RU,1704675135
346,waounde,15.2637,-12.8682,24.98,11,0,4.21,SN,1704675136
347,mili,6.0815,171.735,27.77,80,34,8.1,MH,1704675137
348,boende,-0.2167,20.8667,22.09,88,37,0.97,CD,1704675138
349,tadmur,34.5608,38.2805,12.56,66,100,1.17,SY,1704675139
350,cabo san lucas,22.8909,-109.9124,23.61,52,0,6.17,MX,1704675140
351,jutai,-5.1833,-68.9,26.1,80,59,0.7,BR,1704675142
352,kuanda,56.3161,116.0806,-26.54,100,100,0.6,RU,1704675143
353,mossel bay,-34.1831,22.146,16.96,82,91,0.66,ZA,1704675144
354,santa elena de uairen,4.6167,-61.1333,22.93,54,88,2.28,VE,1704675145
355,divo,5.8397,-5.36,23.5,97,7,1.2,CI,1704675145
